YEAR;MONTH;DAY;HOUR;MINUTE;TEMPERATURE
2021; 9; 9;19;50;53
2021; 6;29; 9; 0;-82
2021; 4; 8;13;57;-19
2021; 9;19;18;48;-67
2021; 2;15; 8; 0;-60
2021; 1;27;23;20;32
2021; 1;28; 0;10;49
2021;11; 5;23;41;57
2021;10;21;15;20; 5
2021; 6;22; 4;50;-70
2021; 5;28; 6;20;-57
2021;10; 5; 0;22;47
2021; 1;25;18;52;50
2021; 6; 0; 8; 9;-45
2021; 4; 9;14; 8;-16
2021; 6;27; 0;36;16
2021; 4; 9;22; 5;42
2021; 6;23; 5;16;99
2021; 8;13;19; 4;19
2021; 8; 0;12; 2;31
2021;11;21; 1;11;-88
2021; 4; 0; 6;15;78
2021; 1; 1;23;18;91
2021; 3; 1;23;34;-22
2021; 1;16; 8;49;-17
2021; 5;26;23;46;-47
2021; 8;10;23;30;10
2021; 6;28;15;57;23
2021; 7;23;13; 6;-49
2021; 8;26;14;20; 8
2021; 6; 0;15;42;25
2021;11; 5;10;10;-72
2021; 0; 4;17;55;43
2021; 7;11;12; 0;91
2021; 4;11; 4;34;-4
2021; 5;18;16;12;-88
2021; 2; 3;22;17;23
2021;10;11; 3;40;-87
2021;11;29; 6;48;88
2021; 8;19;21;16;-29
2021;10;14; 2;19;97
2021; 8;21; 9;58;84
2021; 3;10;19;55;70
2021; 2; 0;10; 8;-51
2021;11;18;21;24;-76
2021; 3; 7; 1;57;-23
2021;10; 2; 5;35;93
2021; 0; 9;19; 7;-77
2021; 1;22; 8;23;-76
2021; 7;14;20;33;-71
2021; 2;29; 7;39;-66
2021; 1;23;15;58; 7
2021; 7; 2;15; 3;-8
2021; 5; 3;14;13; 9
2021; 3;26; 6;39;-51
2021; 1; 5;18; 9;-74
2021; 8; 8;18;24;99
